Year,TeamID,PS
1982,DOO,1
1982,SAM,2
1983,KIA,1
1983,LGT,2
1984,LOT,1
1984,SAM,2
1986,KIA,1
1986,SAM,2
1986,DOO,3
1987,KIA,1
1987,SAM,2
1987,DOO,3
1988,KIA,1
1988,HAN,2
1988,SAM,3
1989,KIA,1
1989,HAN,2
1989,HYU,3
1989,SAM,4
1990,LGT,1
1990,SAM,2
1990,KIA,3
1990,HAN,4
1991,KIA,1
1991,HAN,2
1991,SAM,3
1991,LOT,4
1992,LOT,1
1992,HAN,2
1992,KIA,3
1992,SAM,4
1993,KIA,1
1993,SAM,2
1993,LGT,3
1993,DOO,4
1994,LGT,1
1994,HYU,2
1994,HAN,3
1994,KIA,4
1995,DOO,1
1995,LOT,2
1995,LGT,3
1996,KIA,1
1996,HYU,2
1996,SBB,3
1996,HAN,4
1997,KIA,1
1997,LGT,2
1997,SAM,3
1997,SBB,4
1998,HYU,1
1998,LGT,2
1998,SAM,3
1998,DOO,4
1999,HAN,1
1999,LOT,2
1999,DOO,3
1999,SAM,3
2000,HYU,1
2000,DOO,2
2000,SAM,3
2000,LGT,3
2000,LOT,4
2001,DOO,1
2001,SAM,2
2001,HYU,3
2001,HAN,4
2002,SAM,1
2002,LGT,2
2002,KIA,3
2002,HYU,4
2003,HYU,1
2003,SSG,2
2003,KIA,3
2003,SAM,4
2004,HYU,1
2004,SAM,2
2004,DOO,3
2004,KIA,4
2005,SAM,1
2005,DOO,2
2005,HAN,3
2005,SSG,4
2006,SAM,1
2006,HAN,2
2006,HYU,3
2006,KIA,4
2007,SSG,1
2007,DOO,2
2007,HAN,3
2007,SAM,4
2008,SSG,1
2008,DOO,2
2008,SAM,3
2008,LOT,4
2009,KIA,1
2009,SSG,2
2009,DOO,3
2009,LOT,4
2010,SSG,1
2010,SAM,2
2010,DOO,3
2010,LOT,4
2011,SAM,1
2011,SSG,2
2011,LOT,3
2011,KIA,4
2012,SAM,1
2012,SSG,2
2012,LOT,3
2012,DOO,4
2013,SAM,1
2013,DOO,2
2013,LGT,3
2013,HER,4
2014,SAM,1
2014,HER,2
2014,LGT,3
2014,NCD,4
2015,DOO,1
2015,SAM,2
2015,NCD,3
2015,HER,4
2015,SSG,5
2016,DOO,1
2016,NCD,2
2016,LGT,3
2016,HER,4
2016,KIA,5
2017,KIA,1
2017,DOO,2
2017,NCD,3
2017,LOT,4
2017,SSG,5
2018,SSG,1
2018,DOO,2
2018,HER,3
2018,HAN,4
2018,KIA,5
2019,DOO,1
2019,HER,2
2019,SSG,3
2019,LGT,4
2019,NCD,5
2020,NCD,1
2020,DOO,2
2020,KTW,3
2020,LGT,4
2020,HER,5
2021,KTW,1
2021,DOO,2
2021,SAM,3
2021,LGT,4
2021,HER,5
2022,SSG,1
2022,HER,2
2022,LGT,3
2022,KTW,4
2022,KIA,5
2023,LGT,1
2023,KTW,2
2023,NCD,3
2023,SSG,4
2023,DOO,5
2024,KIA,1
2024,SAM,2
2024,LGT,3
2024,KTW,4
2024,DOO,5
2025,LGT,1
2025,HAN,2
2025,SAM,3
2025,SSG,4
2025,NCD,5