Year,Rank,TeamID,Team,Games,W,L,D,BA,ERA,WPCT
1982,1,DOO,OB 베어스,80,56,24,0,283,3.2,700
1982,2,SAM,삼성 라이온즈,80,54,26,0,266,2.7,675
1982,3,LGT,MBC 청룡,80,46,34,0,282,3.51,575
1982,4,KIA,해태 타이거즈,80,38,42,0,261,3.79,475
1982,5,LOT,롯데 자이언츠,80,31,49,0,256,3.95,388
1982,6,HYU,삼미 슈퍼스타즈,80,15,65,0,240,6.23,188
1983,1,LGT,MBC 청룡,100,55,43,2,255,2.71,561
1983,2,KIA,해태 타이거즈,100,55,44,1,268,3.17,556
1983,3,HYU,삼미 슈퍼스타즈,100,52,47,1,245,3.04,525
1983,4,SAM,삼성 라이온즈,100,46,50,4,263,3.42,479
1983,5,DOO,OB 베어스,100,44,55,1,259,3.52,444
1983,6,LOT,롯데 자이언츠,100,43,56,1,244,3.79,434
1984,1,DOO,OB 베어스,100,58,41,1,256,2.53,586
1984,2,SAM,삼성 라이온즈,100,55,45,0,270,3.35,550
1984,3,LGT,MBC 청룡,100,51,48,1,253,3.18,515
1984,4,LOT,롯데 자이언츠,100,50,48,2,257,3.31,510
1984,5,KIA,해태 타이거즈,100,43,54,3,248,3.16,443
1984,6,HYU,삼미 슈퍼스타즈,100,38,59,3,237,4.05,392
1985,1,SAM,삼성 라이온즈,110,77,32,1,276,2.98,706
1985,2,LOT,롯데 자이언츠,110,59,51,0,256,3.05,536
1985,3,KIA,해태 타이거즈,110,57,52,1,272,3.64,523
1985,4,DOO,OB 베어스,110,51,57,2,260,3.14,472
1985,5,LGT,MBC 청룡,110,44,65,1,246,3.24,404
1985,6,HYU,청보 핀토스,110,39,70,1,252,4.87,358
1986,1,SAM,삼성 라이온즈,108,70,37,1,276,2.95,654
1986,2,KIA,해태 타이거즈,108,67,37,4,259,2.86,644
1986,3,LGT,MBC 청룡,108,59,41,8,265,2.79,590
1986,4,DOO,OB 베어스,108,56,48,4,249,2.61,538
1986,5,LOT,롯데 자이언츠,108,50,52,6,248,2.74,490
1986,6,HYU,청보 핀토스,108,32,74,2,219,3.99,302
1986,7,HAN,빙그레 이글스,108,31,76,1,236,3.65,290
1987,1,SAM,삼성 라이온즈,108,64,44,0,300,3.58,593
1987,2,KIA,해태 타이거즈,108,55,48,5,252,3.16,532
1987,3,LOT,롯데 자이언츠,108,54,49,5,268,3.36,523
1987,4,DOO,OB 베어스,108,55,52,1,261,3.26,514
1987,5,LGT,MBC 청룡,108,50,51,7,258,3.36,495
1987,6,HAN,빙그레 이글스,108,47,57,4,274,3.78,454
1987,7,HYU,청보 핀토스,108,41,65,2,242,4.36,389
1988,1,KIA,해태 타이거즈,108,68,38,2,283,2.86,639
1988,2,HAN,빙그레 이글스,108,62,45,1,266,3.72,579
1988,3,LOT,롯데 자이언츠,108,57,49,2,270,3.63,537
1988,4,SAM,삼성 라이온즈,108,56,50,2,278,4.18,528
1988,5,DOO,OB 베어스,108,54,52,2,258,3.73,509
1988,6,LGT,MBC 청룡,108,40,64,4,260,3.96,389
1988,7,HYU,태평양 돌핀스,108,34,73,1,261,4.57,319
1989,1,HAN,빙그레 이글스,120,71,46,3,276,3.47,604
1989,2,KIA,해태 타이거즈,120,65,51,4,255,3.34,558
1989,3,HYU,태평양 돌핀스,120,62,54,4,249,3.03,533
1989,4,SAM,삼성 라이온즈,120,57,58,5,272,4.42,496
1989,5,DOO,OB 베어스,120,54,63,3,247,3.7,463
1989,6,LGT,MBC 청룡,120,49,67,4,252,4.27,425
1989,7,LOT,롯데 자이언츠,120,48,67,5,247,3.91,421
1990,1,LGT,LG 트윈스,120,71,49,0,271,3.38,592
1990,2,KIA,해태 타이거즈,120,68,49,3,270,3.36,579
1990,3,HAN,빙그레 이글스,120,68,50,2,270,3.4,575
1990,4,SAM,삼성 라이온즈,120,66,52,2,263,4.13,558
1990,5,HYU,태평양 돌핀스,120,58,59,3,246,3.68,496
1990,6,LOT,롯데 자이언츠,120,44,71,5,245,4.44,388
1990,7,DOO,OB 베어스,120,35,80,5,231,4.72,313
1991,1,KIA,해태 타이거즈,126,79,42,5,259,2.89,647
1991,2,HAN,빙그레 이글스,126,72,49,5,274,3.28,591
1991,3,SAM,삼성 라이온즈,126,70,55,1,272,4.23,560
1991,4,LOT,롯데 자이언츠,126,61,62,3,260,4.03,496
1991,5,HYU,태평양 돌핀스,126,55,69,2,238,4.02,444
1991,6,LGT,LG 트윈스,126,53,72,1,244,4.35,425
1991,7,SBB,쌍방울 레이더스,126,52,71,3,253,4.69,425
1991,8,DOO,OB 베어스,126,51,73,2,250,4.21,413
1992,1,HAN,빙그레 이글스,126,81,43,2,267,3.68,651
1992,2,KIA,해태 타이거즈,126,71,54,1,272,4.21,567
1992,3,LOT,롯데 자이언츠,126,71,55,0,288,4.28,563
1992,4,SAM,삼성 라이온즈,126,67,57,2,265,4.55,540
1992,5,DOO,OB 베어스,126,56,66,4,259,4.22,460
1992,6,HYU,태평양 돌핀스,126,56,67,3,256,4.48,456
1992,7,LGT,LG 트윈스,126,53,70,3,257,4.29,433
1992,8,SBB,쌍방울 레이더스,126,41,84,1,249,4.85,329
1993,1,KIA,해태 타이거즈,126,81,42,3,251,2.92,655
1993,2,SAM,삼성 라이온즈,126,73,48,5,271,2.95,599
1993,3,DOO,OB 베어스,126,66,55,5,258,2.89,544
1993,4,LGT,LG 트윈스,126,66,57,3,256,3.07,536
1993,5,HAN,빙그레 이글스,126,61,61,4,238,3.46,500
1993,6,LOT,롯데 자이언츠,126,62,63,1,248,3.33,496
1993,7,SBB,쌍방울 레이더스,126,43,78,5,225,4.0,361
1993,8,HYU,태평양 돌핀스,126,34,82,10,224,3.58,310
1994,1,LGT,LG 트윈스,126,81,45,0,282,3.14,643
1994,2,HYU,태평양 돌핀스,126,68,55,3,244,3.5,552
1994,3,HAN,한화 이글스,126,65,59,2,247,3.52,524
1994,4,KIA,해태 타이거즈,126,65,59,2,271,3.6,524
1994,5,SAM,삼성 라이온즈,126,60,64,2,260,3.47,484
1994,6,LOT,롯데 자이언츠,126,56,67,3,257,4.44,456
1994,7,DOO,OB 베어스,126,53,72,1,246,3.46,425
1994,8,SBB,쌍방울 레이더스,126,47,74,5,248,4.74,393
1995,1,DOO,OB 베어스,126,74,47,5,266,3.42,607
1995,2,LGT,LG 트윈스,126,74,48,4,257,3.21,603
1995,3,LOT,롯데 자이언츠,126,68,53,5,255,3.47,560
1995,4,KIA,해태 타이거즈,126,64,58,4,242,3.06,524
1995,5,SAM,삼성 라이온즈,126,60,60,6,250,3.9,500
1995,6,HAN,한화 이글스,126,55,71,0,249,4.04,437
1995,7,HYU,태평양 돌핀스,126,48,73,5,234,3.92,401
1995,8,SBB,쌍방울 레이더스,126,45,78,3,254,4.67,369
1996,1,KIA,해태 타이거즈,126,73,51,2,245,3.14,587
1996,2,SBB,쌍방울 레이더스,126,70,54,2,264,3.33,563
1996,3,HAN,한화 이글스,126,70,55,1,245,3.79,560
1996,4,HYU,현대 유니콘스,126,67,54,5,243,3.04,552
1996,5,LOT,롯데 자이언츠,126,57,63,6,274,4.16,476
1996,6,SAM,삼성 라이온즈,126,54,67,5,249,4.23,448
1996,7,LGT,LG 트윈스,126,50,71,5,246,4.11,417
1996,8,DOO,OB 베어스,126,47,73,6,242,3.69,397
1997,1,KIA,해태 타이거즈,126,75,50,1,258,3.65,599
1997,2,LGT,LG 트윈스,126,73,51,2,267,3.78,587
1997,3,SBB,쌍방울 레이더스,126,71,53,2,269,3.82,571
1997,4,SAM,삼성 라이온즈,126,66,53,7,277,4.23,552
1997,5,DOO,OB 베어스,126,57,64,5,254,3.84,472
1997,6,HYU,현대 유니콘스,126,51,71,4,247,4.21,421
1997,7,HAN,한화 이글스,126,51,73,2,253,4.06,413
1997,8,LOT,롯데 자이언츠,126,48,77,1,237,4.58,385
1998,1,HYU,현대 유니콘스,126,81,45,0,270,3.03,643
1998,2,SAM,삼성 라이온즈,126,66,58,2,268,4.32,532
1998,3,LGT,LG 트윈스,126,63,62,1,267,4.18,504
1998,4,DOO,OB 베어스,126,61,62,3,256,3.6,496
1998,5,KIA,해태 타이거즈,126,61,64,1,258,3.91,488
1998,6,SBB,쌍방울 레이더스,126,58,66,2,261,4.04,468
1998,7,HAN,한화 이글스,126,55,66,5,250,4.26,455
1998,8,LOT,롯데 자이언츠,126,50,72,4,255,4.61,410
1999,1,DOO,두산 베어스,132,76,51,5,284,4.58,598
1999,2,LOT,롯데 자이언츠,132,75,52,5,291,4.18,591
1999,3,SAM,삼성 라이온즈,132,73,57,2,273,5.16,562
1999,4,HAN,한화 이글스,132,72,58,2,283,4.88,554
1999,5,HYU,현대 유니콘스,132,68,59,5,272,4.47,535
1999,6,LGT,LG 트윈스,132,61,70,1,281,5.49,466
1999,7,KIA,해태 타이거즈,132,60,69,3,278,5.21,465
1999,8,SBB,쌍방울 레이더스,132,28,97,7,248,5.85,224
2000,1,HYU,현대 유니콘스,133,91,40,2,278,3.64,695
2000,2,DOO,두산 베어스,133,76,57,0,289,4.22,571
2000,3,SAM,삼성 라이온즈,133,69,59,5,269,4.64,539
2000,4,LGT,LG 트윈스,133,67,63,3,273,4.45,515
2000,5,LOT,롯데 자이언츠,133,65,64,4,260,4.02,504
2000,6,KIA,해태 타이거즈,133,57,72,4,252,4.95,442
2000,7,HAN,한화 이글스,133,50,78,5,276,5.24,391
2000,8,SSG,SK 와이번스,133,44,86,3,260,5.99,338
2001,1,SAM,삼성 라이온즈,133,81,52,0,277,4.39,609
2001,2,HYU,현대 유니콘스,133,72,57,4,268,4.34,558
2001,3,DOO,두산 베어스,133,65,63,5,276,4.96,508
2001,4,HAN,한화 이글스,133,61,68,4,275,4.82,473
2001,5,KIA,KIA 타이거즈,133,60,68,5,278,5.01,469
2001,6,LGT,LG 트윈스,133,58,67,8,276,5.09,464
2001,7,SSG,SK 와이번스,133,60,71,2,260,4.38,458
2001,8,LOT,롯데 자이언츠,133,59,70,4,280,4.68,457
2002,1,SAM,삼성 라이온즈,133,82,47,4,284,3.92,636
2002,2,KIA,KIA 타이거즈,133,78,51,4,269,3.92,605
2002,3,HYU,현대 유니콘스,133,70,58,5,261,4.23,547
2002,4,LGT,LG 트윈스,133,66,61,6,261,3.93,520
2002,5,DOO,두산 베어스,133,66,65,2,261,3.93,504
2002,6,SSG,SK 와이번스,133,61,69,3,270,4.47,469
2002,7,HAN,한화 이글스,133,59,69,5,256,4.79,461
2002,8,LOT,롯데 자이언츠,133,35,97,1,245,4.72,265
2003,1,HYU,현대 유니콘스,133,80,51,2,286,4.13,611
2003,2,KIA,KIA 타이거즈,133,78,50,5,272,3.62,609
2003,3,SAM,삼성 라이온즈,133,76,53,4,284,4.37,589
2003,4,SSG,SK 와이번스,133,66,64,3,272,4.44,508
2003,5,HAN,한화 이글스,133,63,65,5,254,4.37,492
2003,6,LGT,LG 트윈스,133,60,71,2,249,3.98,458
2003,7,DOO,두산 베어스,133,57,74,2,276,4.24,435
2003,8,LOT,롯데 자이언츠,133,39,91,3,256,5.01,300
2004,1,HYU,현대 유니콘스,133,75,53,5,275,4.06,586
2004,2,SAM,삼성 라이온즈,133,73,52,8,269,3.76,584
2004,3,DOO,두산 베어스,133,70,62,1,268,3.88,530
2004,4,KIA,KIA 타이거즈,133,67,61,5,267,4.51,523
2004,5,SSG,SK 와이번스,133,61,64,8,272,4.4,488
2004,6,LGT,LG 트윈스,133,59,70,4,259,4.31,457
2004,7,HAN,한화 이글스,133,53,74,6,268,5.21,417
2004,8,LOT,롯데 자이언츠,133,50,72,11,252,4.22,410
2005,1,SAM,삼성 라이온즈,126,74,48,4,268,3.83,607
2005,2,DOO,두산 베어스,126,72,51,3,270,3.42,585
2005,3,SSG,SK 와이번스,126,70,50,6,269,3.41,583
2005,4,HAN,한화 이글스,126,64,61,1,270,4.41,512
2005,5,LOT,롯데 자이언츠,126,58,67,1,253,4.3,464
2005,6,LGT,LG 트윈스,126,54,71,1,260,4.9,432
2005,7,HYU,현대 유니콘스,126,53,70,3,256,4.68,431
2005,8,KIA,KIA 타이거즈,126,49,76,1,260,4.81,392
2006,1,SAM,삼성 라이온즈,126,73,50,3,255,3.33,593
2006,2,HYU,현대 유니콘스,126,70,55,1,270,3.41,560
2006,3,HAN,한화 이글스,126,67,57,2,253,3.35,540
2006,4,KIA,KIA 타이거즈,126,64,59,3,255,3.33,520
2006,5,DOO,두산 베어스,126,63,60,3,258,3.36,512
2006,6,SSG,SK 와이번스,126,60,65,1,254,3.8,480
2006,7,LOT,롯데 자이언츠,126,50,73,3,250,3.86,407
2006,8,LGT,LG 트윈스,126,47,75,4,246,4.22,385
2007,1,SSG,SK 와이번스,126,73,48,5,264,3.24,603
2007,2,DOO,두산 베어스,126,70,54,2,263,3.44,565
2007,3,HAN,한화 이글스,126,67,57,2,254,3.54,540
2007,4,SAM,삼성 라이온즈,126,62,60,4,254,3.71,508
2007,5,LGT,LG 트윈스,126,58,62,6,268,4.33,483
2007,6,HYU,현대 유니콘스,126,56,69,1,271,4.41,448
2007,7,LOT,롯데 자이언츠,126,55,68,3,270,4.12,447
2007,8,KIA,KIA 타이거즈,126,51,74,1,257,4.49,408
2008,1,SSG,SK 와이번스,126,83,43,0,282,3.22,659
2008,2,DOO,두산 베어스,126,70,56,0,276,3.89,556
2008,3,LOT,롯데 자이언츠,126,69,57,0,282,3.64,548
2008,4,SAM,삼성 라이온즈,126,65,61,0,258,4.4,516
2008,5,HAN,한화 이글스,126,64,62,0,254,4.43,508
2008,6,KIA,KIA 타이거즈,126,57,69,0,260,4.08,452
2008,7,HER,우리 히어로즈,126,50,76,0,266,4.43,397
2008,8,LGT,LG 트윈스,126,46,80,0,256,4.85,365
2009,1,KIA,KIA 타이거즈,133,81,48,4,267,3.92,609
2009,2,SSG,SK 와이번스,133,80,47,6,285,3.67,602
2009,3,DOO,두산 베어스,133,71,60,2,280,4.6,534
2009,4,LOT,롯데 자이언츠,133,66,67,0,277,4.75,496
2009,5,SAM,삼성 라이온즈,133,64,69,0,275,4.98,481
2009,6,HER,히어로즈,133,60,72,1,272,5.4,451
2009,7,LGT,LG 트윈스,133,54,75,4,278,5.42,406
2009,8,HAN,한화 이글스,133,46,84,3,269,5.7,346
2010,1,SSG,SK 와이번스,133,84,47,2,274,3.71,632
2010,2,SAM,삼성 라이온즈,133,79,52,2,272,3.94,594
2010,3,DOO,두산 베어스,133,73,57,3,281,4.62,549
2010,4,LOT,롯데 자이언츠,133,69,61,3,288,4.82,519
2010,5,KIA,KIA 타이거즈,133,59,74,0,260,4.39,444
2010,6,LGT,LG 트윈스,133,57,71,5,276,5.23,429
2010,7,HER,넥센 히어로즈,133,52,78,3,262,4.55,391
2010,8,HAN,한화 이글스,133,49,82,2,244,5.43,368
2011,1,SAM,삼성 라이온즈,133,79,50,4,259,3.35,612
2011,2,LOT,롯데 자이언츠,133,72,56,5,288,4.2,563
2011,3,SSG,SK 와이번스,133,71,59,3,263,3.59,546
2011,4,KIA,KIA 타이거즈,133,70,63,0,269,4.1,526
2011,5,DOO,두산 베어스,133,61,70,2,271,4.26,466
2011,6,LGT,LG 트윈스,133,59,72,2,266,4.15,450
2011,7,HAN,한화 이글스,133,59,72,2,255,5.11,450
2011,8,HER,넥센 히어로즈,133,51,80,2,245,4.36,389
2012,1,SAM,삼성 라이온즈,133,80,51,2,272,3.39,611
2012,2,SSG,SK 와이번스,133,71,59,3,258,3.82,546
2012,3,DOO,두산 베어스,133,68,62,3,260,3.58,523
2012,4,LOT,롯데 자이언츠,133,65,62,6,263,3.48,512
2012,5,KIA,KIA 타이거즈,133,62,65,6,256,3.9,488
2012,6,HER,넥센 히어로즈,133,61,69,3,243,3.83,469
2012,7,LGT,LG 트윈스,133,57,72,4,261,4.02,442
2012,8,HAN,한화 이글스,133,53,77,3,249,4.55,408
2013,1,SAM,삼성 라이온즈,128,75,51,2,283,3.98,595
2013,2,LGT,LG 트윈스,128,74,54,0,282,3.72,578
2013,3,HER,넥센 히어로즈,128,72,54,2,272,4.12,571
2013,4,DOO,두산 베어스,128,71,54,3,289,4.57,568
2013,5,LOT,롯데 자이언츠,128,66,58,4,261,3.93,532
2013,6,SSG,SK 와이번스,128,62,63,3,265,4.16,496
2013,7,NCD,NC 다이노스,128,52,72,4,244,3.96,419
2013,8,KIA,KIA 타이거즈,128,51,74,3,261,5.12,408
2013,9,HAN,한화 이글스,128,42,85,1,259,5.31,331
2014,1,SAM,삼성 라이온즈,128,78,47,3,301,4.52,624
2014,2,HER,넥센 히어로즈,128,78,48,2,298,5.25,619
2014,3,NCD,NC 다이노스,128,70,57,1,282,4.29,551
2014,4,LGT,LG 트윈스,128,62,64,2,279,4.58,492
2014,5,SSG,SK 와이번스,128,61,65,2,291,5.51,484
2014,6,DOO,두산 베어스,128,59,68,1,293,5.43,465
2014,7,LOT,롯데 자이언츠,128,58,69,1,287,5.19,457
2014,8,KIA,KIA 타이거즈,128,54,74,0,288,5.82,422
2014,9,HAN,한화 이글스,128,49,77,2,283,6.35,389
2015,1,SAM,삼성 라이온즈,144,88,56,0,302,4.69,611
2015,2,NCD,NC 다이노스,144,84,57,3,289,4.26,596
2015,3,DOO,두산 베어스,144,79,65,0,290,5.02,549
2015,4,HER,넥센 히어로즈,144,78,65,1,298,4.91,545
2015,5,SSG,SK 와이번스,144,69,73,2,272,4.71,486
2015,6,HAN,한화 이글스,144,68,76,0,271,5.11,472
2015,7,KIA,KIA 타이거즈,144,67,77,0,251,4.79,465
2015,8,LOT,롯데 자이언츠,144,66,77,1,280,5.07,462
2015,9,LGT,LG 트윈스,144,64,78,2,269,4.62,451
2015,10,KTW,KT 위즈,144,52,91,1,273,5.56,364
2016,1,DOO,두산 베어스,144,93,50,1,298,4.45,650
2016,2,NCD,NC 다이노스,144,83,58,3,291,4.48,589
2016,3,HER,넥센 히어로즈,144,77,66,1,293,4.96,538
2016,4,LGT,LG 트윈스,144,71,71,2,290,5.04,500
2016,5,KIA,KIA 타이거즈,144,70,73,1,286,4.97,490
2016,6,SSG,SK 와이번스,144,69,75,0,291,4.87,479
2016,7,HAN,한화 이글스,144,66,75,3,289,5.76,468
2016,8,LOT,롯데 자이언츠,144,66,78,0,288,5.63,458
2016,9,SAM,삼성 라이온즈,144,65,78,1,293,5.64,455
2016,10,KTW,KT 위즈,144,53,89,2,276,5.92,373
2017,1,KIA,KIA 타이거즈,144,87,56,1,302,4.79,608
2017,2,DOO,두산 베어스,144,84,57,3,294,4.38,596
2017,3,LOT,롯데 자이언츠,144,80,62,2,285,4.56,563
2017,4,NCD,NC 다이노스,144,79,62,3,293,4.71,560
2017,5,SSG,SK 와이번스,144,75,68,1,271,5.02,524
2017,6,LGT,LG 트윈스,144,69,72,3,281,4.3,489
2017,7,HER,넥센 히어로즈,144,69,73,2,290,5.03,486
2017,8,HAN,한화 이글스,144,61,81,2,287,5.28,430
2017,9,SAM,삼성 라이온즈,144,55,84,5,279,5.88,396
2017,10,KTW,KT 위즈,144,50,94,0,275,5.75,347
2018,1,DOO,두산 베어스,144,93,51,0,309,4.98,646
2018,2,SSG,SK 와이번스,144,78,65,1,281,4.67,545
2018,3,HAN,한화 이글스,144,77,67,0,275,4.93,535
2018,4,HER,넥센 히어로즈,144,75,69,0,288,5.08,521
2018,5,SAM,삼성 라이온즈,144,68,72,4,288,5.19,486
2018,6,KIA,KIA 타이거즈,144,70,74,0,295,5.4,486
2018,7,LOT,롯데 자이언츠,144,68,74,2,289,5.37,479
2018,8,LGT,LG 트윈스,144,68,75,1,293,5.29,476
2018,9,KTW,KT 위즈,144,59,82,3,275,5.34,418
2018,10,NCD,NC 다이노스,144,58,85,1,261,5.48,406
2019,1,SSG,SK 와이번스,144,88,55,1,262,3.48,615
2019,2,DOO,두산 베어스,144,88,55,1,278,3.51,615
2019,3,HER,키움 히어로즈,144,86,57,1,282,3.61,601
2019,4,LGT,LG 트윈스,144,79,64,1,267,3.86,552
2019,5,NCD,NC 다이노스,144,73,69,2,278,4.01,514
2019,6,KTW,KT 위즈,144,71,71,2,277,4.29,500
2019,7,KIA,KIA 타이거즈,144,62,80,2,264,4.65,437
2019,8,SAM,삼성 라이온즈,144,60,83,1,256,4.64,420
2019,9,HAN,한화 이글스,144,58,86,0,256,4.8,403
2019,10,LOT,롯데 자이언츠,144,48,93,3,250,4.83,340
2020,1,NCD,NC 다이노스,144,83,55,6,291,4.58,601
2020,2,KTW,KT 위즈,144,81,62,1,284,4.54,566
2020,3,DOO,두산 베어스,144,79,61,4,293,4.31,564
2020,4,LGT,LG 트윈스,144,79,61,4,277,4.37,564
2020,5,HER,키움 히어로즈,144,80,63,1,269,4.39,559
2020,6,KIA,KIA 타이거즈,144,73,71,0,274,5.13,507
2020,7,LOT,롯데 자이언츠,144,71,72,1,276,4.64,497
2020,8,SAM,삼성 라이온즈,144,64,75,5,268,4.78,460
2020,9,SSG,SK 와이번스,144,51,92,1,250,5.57,357
2020,10,HAN,한화 이글스,144,46,95,3,245,5.28,326
2021,1,KTW,KT 위즈,144,76,59,9,265,3.67,563
2021,2,SAM,삼성 라이온즈,144,76,59,9,267,4.3,563
2021,3,LGT,LG 트윈스,144,72,58,14,250,3.57,554
2021,4,DOO,두산 베어스,144,71,65,8,268,4.26,522
2021,5,HER,키움 히어로즈,144,70,67,7,259,4.31,511
2021,6,SSG,SSG 랜더스,144,66,64,14,261,4.82,508
2021,7,NCD,NC 다이노스,144,67,68,9,261,4.54,496
2021,8,LOT,롯데 자이언츠,144,65,71,8,278,5.37,478
2021,9,KIA,KIA 타이거즈,144,58,76,10,248,4.89,433
2021,10,HAN,한화 이글스,144,49,83,12,237,4.65,371
2022,1,SSG,SSG 랜더스,144,88,52,4,254,3.87,629
2022,2,LGT,LG 트윈스,144,87,55,2,269,3.33,613
2022,3,KTW,KT 위즈,144,80,62,2,254,3.51,563
2022,4,HER,키움 히어로즈,144,80,62,2,252,3.79,563
2022,5,KIA,KIA 타이거즈,144,70,73,1,272,4.2,490
2022,6,NCD,NC 다이노스,144,67,74,3,257,3.9,475
2022,7,SAM,삼성 라이온즈,144,66,76,2,270,4.29,465
2022,8,LOT,롯데 자이언츠,144,64,76,4,267,4.45,457
2022,9,DOO,두산 베어스,144,60,82,2,255,4.45,423
2022,10,HAN,한화 이글스,144,46,96,2,245,4.83,324
2023,1,LGT,LG 트윈스,144,86,56,2,279,3.67,606
2023,2,KTW,KT 위즈,144,79,62,3,265,3.94,560
2023,3,SSG,SSG 랜더스,144,76,65,3,260,4.37,539
2023,4,NCD,NC 다이노스,144,75,67,2,270,3.83,528
2023,5,DOO,두산 베어스,144,74,68,2,255,3.92,521
2023,6,KIA,KIA 타이거즈,144,73,69,2,276,4.13,514
2023,7,LOT,롯데 자이언츠,144,68,76,0,265,4.15,472
2023,8,SAM,삼성 라이온즈,144,61,82,1,263,4.6,427
2023,9,HAN,한화 이글스,144,58,80,6,241,4.38,420
2023,10,HER,키움 히어로즈,144,58,83,3,261,4.42,411
2024,1,KIA,KIA 타이거즈,144,87,55,2,301,4.4,613
2024,2,SAM,삼성 라이온즈,144,78,64,2,269,4.68,549
2024,3,LGT,LG 트윈스,144,76,66,2,283,4.63,535
2024,4,DOO,두산 베어스,144,74,68,2,276,4.82,521
2024,5,KTW,KT 위즈,144,72,70,2,279,5.11,507
2024,6,SSG,SSG 랜더스,144,72,70,2,273,5.25,507
2024,7,LOT,롯데 자이언츠,144,66,74,4,285,5.05,471
2024,8,HAN,한화 이글스,144,66,76,2,270,4.98,465
2024,9,NCD,NC 다이노스,144,61,81,2,274,5.0,430
2024,10,HER,키움 히어로즈,144,58,86,0,264,5.16,403
2025,1,LGT,LG 트윈스,144,85,56,3,278,3.79,603
2025,2,HAN,한화 이글스,144,83,57,4,266,3.55,593
2025,3,SSG,SSG 랜더스,144,75,65,4,256,3.63,536
2025,4,SAM,삼성 라이온즈,144,74,68,2,271,4.12,521
2025,5,NCD,NC 다이노스,144,71,67,6,260,4.82,514
2025,6,KTW,KT 위즈,144,71,68,5,253,4.09,511
2025,7,LOT,롯데 자이언츠,144,66,72,6,267,4.75,478
2025,8,KIA,KIA 타이거즈,144,65,75,4,258,4.66,464
2025,9,DOO,두산 베어스,144,61,77,6,262,4.3,442
2025,10,HER,키움 히어로즈,144,47,93,4,244,5.39,336
